CO,Gid,NUMID,Lat,Lon,City,ADMIN,Near,Distance,share,ag,nonag,VFI,KAC
UG,UG29,29,-0.383,31.367,Kyazanga,3374,UG29,0,0.03142,0.6,0.1,1,1
UG,UG3,3,0.356,32.485,Kampala,3400,UG25,5,0.00108,0.47,0.01,1,1
UG,UG4,4,0.285,32.711,Kampala City,3384,UG23,9,0.00433,0.29,0.08,1,1
UG,UG5,5,-0.464,31.339,Kyazanga,3374,UG29,9,0.00758,0.6,0.1,1,1
UG,UG6,6,-0.657,31.57,Kyotera,3394,UG28,4,0.00758,0.48,0.24,1,1
UG,UG7,7,2.41,33.052,Lira2,3369,UG2464,25,0.00758,0.7,0.05,1,1
UG,UG71,71,0.703,32.889,Kayunga,3370,UG21,40,0.00433,0.48,0.24,1,2
UG,UG75,75,0.225,32.314,Mpigi,3382,UG27,17,0.08776,0.68,0.3,1,2
UG,UG8,8,-0.148,31.878,Lukaya,3374,UG2493,26,0.01192,0.7,0.2,1,1
UG,UG80,80,0.583,32.533,Bombo,3370,UG21,15,0.00433,0.48,0.24,1,2
UG,UG84,84,1.25,34.3,Sironko,3338,UG2466,23,0.00433,0.15,0.75,1,2
UG,UG85,85,0.454,34.076,Busia,3399,UG2467,30,0.00108,0.06,0.54,1,2
UG,UG9,9,0.957,34.071,Mbale2,3338,UG2466,19,0.00433,0.15,0.75,1,1
ZM,ZM1,1,-12.663,27.79,Chingola2,3833,ZM2319,16,0.00896,0.23,0.69,1,1
ZM,ZM11,11,-15.411,28.082,Lusaka2,3832,ZM10,23,0.07072,0.16,0.7,1,1
ZM,ZM12,12,-16.26,27.467,Monze,3839,ZM12,0,0.04681,0.12,0.58,1,1
ZM,ZM13,13,-12.22,26.266,Solwezi2,3837,ZM2326,16,0.01992,0.2,0.79,1,1
ZM,ZM2,2,-13.497,32.563,Chipata2,3834,ZM2323,17,0.01793,0.02,0.98,1,1
ZM,ZM2316,2316,-10.2,31.18,Kasama,3838,ZM2316,0,0.17032,0.02,0.94,1,2
ZM,ZM2319,2319,-12.54,27.85,Chingola,3833,ZM2319,0,0.06972,0.23,0.69,1,2
ZM,ZM2320,2320,-12.37,27.82,Chililabombwe,3833,ZM2319,20,0.00896,0.23,0.69,1,2
ZM,ZM2323,2323,-13.63,32.64,Chipata,3834,ZM2323,0,0.06972,0.02,0.98,1,2
ZM,ZM2326,2326,-12.18,26.4,Solwezi,3837,ZM2326,0,0.07769,0.2,0.79,1,2
ZM,ZM2327,2327,-16.809,26.97,Choma,3839,ZM2327,0,0.05478,0.38,0.57,1,2
ZM,ZM3,3,-14.98,28.285,Chisamba,3836,ZM6,28,0.00896,0.16,0.7,1,1
ZM,ZM4,4,-16.836,27.139,Choma2,3839,ZM2327,19,0.01394,0.38,0.57,1,1
ZM,ZM5,5,-15.32,28.643,Chongwe,3836,ZM6,29,0.01594,0.4,0.2,1,1
ZM,ZM6,6,-15.179,28.422,Chongwe2,3832,ZM6,0,0.00896,0.16,0.7,1,1
ZM,ZM6279,6279,-12.55,28.26,Mufulira,3833,ZM6280,30,0.00996,    ,0.8,1,2
ZM,ZM6280,6280,-12.81,28.22,Kitwe,3833,ZM6280,0,0.07769,    ,0.8,1,2
ZM,ZM6819,6819,-15.438,28.283,Lusaka,3836,ZM10,0,0.18426,0.15,0.8,1,2
ZM,ZM7,7,-10.068,31.267,Kasama,3838,ZM2316,18,0.04283,0.02,0.94,1,1
ZM,ZM8,8,-16.023,27.556,Kayleya,3839,ZM12,29,0.01195,0.12,0.58,1,1
ZM,ZM9,9,-12.941,28.144,Kitwe2,3833,ZM6280,17,0.00996,    ,0.8,1,1
ET,ET3977,3977,11.184,40.017,Bati,959,ET5955,43, . , . , . ,0,2
ET,ET3979,3979,14.13,38.72,Aksum,967,ET5955,357, . , . , . ,0,2
ET,ET3980,3980,6.75,38.41,Yirga Alem,965,ET554,36, . , . , . ,0,2
ET,ET3985,3985,9.09,36.53,Nekemte,964,ET24,75, . , . , . ,0,2
ET,ET3986,3986,7.95,39.14,Asela,964,ET5961,69, . , . , . ,0,2
ET,ET3988,3988,8.534,34.8,Dembi Dolo,964,ET24,173, . , . , . ,0,2
ET,ET3989,3989,9.167,35.833,Gimbi,964,ET24,99, . , . , . ,0,2
ET,ET3990,3990,10.067,34.533,Asosa,960,ET24,272, . , . , . ,0,2
ET,ET3991,3991,9.35,42.79,Jijiga,966,ET29,330, . , . , . ,0,2
ET,ET555,555,8.149,35.537,Gore,964,ET24,97, . , . , . ,0,2
ET,ET5954,5954,10.34,37.72,Debre Markos,959,ET17,55, . , . , . ,0,2
ET,ET5958,5958,9.32,42.15,Harar,963,ET29,262, . , . , . ,0,2
ET,ET5959,5959,7.01,39.97,Goba,964,ET3987,155, . , . , . ,0,2
ET,ET5960,5960,7.68,36.83,Jima,964,ET20,67, . , . , . ,0,2
